short-name,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct
alta-ski-area,"12""","82""","76""","73""","63""","37""","0""",,,,,
aspen-snowmass,"22""","65""","53""","60""","66""","32""","0.3""","0""",,,,
big-sky-resort,"15""","62""","48""","58""","56""","34""","0""",,,,,
jackson-hole,"21""","107""","99""","112""","66""","13""","0""",,,,,
lake-louise,"37""","39""","35""","35""","37""","29""","5""","0""",,,,
mammoth-mountain-ski-area,"30""","70""","66""","55""","51""","26""","8""","0.2""",,,,
squaw-valley-usa,"31""","78""","77""","79""","72""","32""","5""","0.4""",,,,
revelstoke-mountain,"9""","64""","56""","44""","47""","18""","0""",,,,,
snowbasin,"12""","67""","61""","65""","43""","13""","0""",,,,,
snowbird,"19""","87""","90""","84""","70""","61""","14""","0""",,,,
sugarbush,"15""","54""","46""","47""","44""","14""","0""",,,,,
sun-valley,"6""","55""","37""","43""","24""","8""","0""",,,,,
sunshine-village,"40""","47""","42""","43""","50""","25""","8""","0""",,,,
taos-ski-valley,"15""","40""","33""","45""","39""","7""","0""",,,,,
afton-alps,"2""","13""","11""","13""","6""","0.5""","0""",,,,,
folgaria,26cm,35cm,51cm,81cm,26cm,,,,,,,
andalo-fai-della-paganella,16cm,33cm,53cm,81cm,52cm,,,,,,,
beaver-creek,"20""","50""","47""","48""","51""","17""","0""",,,,,
breckenridge,"30""","60""","57""","57""","60""","36""","6""","0""",,,,
brides-les-bains,5cm,24cm,45cm,25cm,28cm,,,,,,,
courchevel,33cm,77cm,93cm,67cm,57cm,,,,,,,
crested-butte-mountain-resort,"13""","57""","45""","45""","36""","5""","0""",,,,,
fernie-alpine,"4""","72""","67""","55""","62""","17""","0""",,,,,
folgarida-marilleva,7cm,24cm,48cm,78cm,36cm,,,,,,,
heavenly-mountain-resort,"16""","69""","61""","67""","47""","15""","2""","0""",,,,
keystone,"29""","42""","41""","39""","51""","15""","0""",,,,,
kicking-horse,"17""","47""","43""","34""","45""","14""","0""",,,,,
kimberley,"4""","30""","31""","30""","26""","4""","0""",,,,,
kirkwood,"21""","76""","73""","76""","68""","26""","0""",,,,,
la-tania,14cm,50cm,53cm,50cm,38cm,,,,,,,
les-menuires,37cm,84cm,82cm,66cm,53cm,,,,,,,
madonna-di-campiglio,70cm,49cm,53cm,79cm,48cm,,,,,,,
meribel,29cm,80cm,75cm,48cm,51cm,,,,,,,
mont-sainte-anne,"2""","39""","43""","41""","38""","13""","0""",,,,,
monte-bondone,1.7cm,21cm,14cm,60cm,15cm,,,,,,,
mount-sunapee,"2""","23""","20""","32""","17""","3""","0""",,,,,
mount-brighton,"0.7""","7""","12""","16""","5""","0""",,,,,,
nakiska-ski-area,"19""","19""","15""","19""","23""","15""","0""",,,,,
nendaz,7cm,73cm,74cm,55cm,43cm,,,,,,,
northstar-california,"22""","78""","73""","73""","62""","15""","0""",,,,,
okemo-mountain-resort,"8""","27""","25""","34""","22""","4""","0""",,,,,
orelle,7cm,90cm,92cm,75cm,66cm,,,,,,,
park-city-mountain-resort,"16""","62""","57""","55""","44""","11""","0""",,,,,
pejo,6cm,21cm,49cm,46cm,30cm,,,,,,,
pinzolo,7cm,27cm,29cm,42cm,24cm,,,,,,,
pontedilegno-tonale-adamello-ski,32cm,30cm,34cm,72cm,42cm,,,,,,,
saint-martin-de-belleville,13cm,67cm,72cm,64cm,42cm,,,,,,,
stevens-pass-resort,"14""","96""","82""","87""","48""","22""","0""",,,,,
stoneham,"0.7""","34""","46""","38""","20""","3""","0""",,,,,
stowe-mountain-resort,"13""","44""","51""","57""","47""","14""","0""",,,,,
telluride,"17""","52""","45""","53""","50""","5""","0""",,,,,
thyon-2000,5cm,38cm,71cm,55cm,44cm,,,,,,,
vail,"24""","56""","50""","49""","45""","24""","0.3""","0""",,,,
val-thorens,77cm,126cm,145cm,115cm,107cm,,,,,,,
verbier,33cm,115cm,111cm,93cm,79cm,,,,,,,
veysonnaz,9cm,55cm,73cm,55cm,44cm,,,,,,,
whistler-blackcomb,"40""","77""","83""","46""","62""","28""","6""","0""",,,,
wilmot-mountain,"0.1""","4""","11""","9""","4""","0""",,,,,,
arapahoe-basin-ski-area,"34""","43""","43""","45""","45""","40""","34""","1""",,,,
bear-mountain,"5""","18""","29""","23""","16""","0""",,,,,,
blue-mountain,"0.2""","19""","31""","28""","12""","4""","0""",,,,,
boyne-mountain-resort,"4""","29""","40""","29""","14""","8""","0""",,,,,
brighton-resort,"20""","81""","88""","79""","66""","34""","0""",,,,,
copper-mountain-resort,"26""","47""","46""","45""","50""","28""","0""",,,,,
crystal-mountain-wa,"23""","112""","92""","86""","61""","42""","5""","0""",,,,
cypress-mountain,"9""","70""","53""","48""","52""","13""","0""",,,,,
deer-valley-resort,"4""","55""","61""","55""","42""","12""","0""",,,,,
eldora-mountain-resort,"13""","41""","39""","49""","41""","17""","0""",,,,,
june-mountain,"0""","20""","61""","56""","38""","5""",,,,,,
killington-resort,"17""","37""","37""","45""","29""","10""","0.2""","0""",,,,
loon-mountain,"8""","32""","30""","37""","23""","9""","0""",,,,,
mt-bachelor,"20""","105""","79""","87""","62""","39""","10""","0""",,,,
ski-banff-norquay,"14""","20""","20""","20""","21""","10""","0.2""","0""",,,,
panorama-mountain,"4""","32""","41""","43""","47""","10""","0""",,,,,
snow-summit,"6""","22""","29""","21""","16""","0""",,,,,,
snowshoe-mountain-resort,"5""","19""","34""","31""","26""","0.2""","0""",,,,,
solitude-mountain-resort,"17""","72""","76""","81""","64""","23""","0""",,,,,
steamboat,"12""","78""","63""","63""","44""","14""","0""",,,,,
stratton-mountain,"4""","32""","26""","40""","19""","2""","0""",,,,,
sugarloaf,"11""","32""","27""","39""","23""","12""","0""",,,,,
sunday-river,"9""","28""","25""","37""","18""","6""","0""",,,,,
boyne-highlands,"4""","30""","47""","30""","11""","0.5""","0""",,,,,
the-summit-at-snoqualmie,"5""","71""","65""","64""","35""","14""","0""",,,,,
tremblant,"5""","38""","47""","48""","29""","7""","0""",,,,,
windham-mountain,"4""","20""","20""","30""","18""","0.3""","0""",,,,,
winter-park-resort,"34""","64""","55""","56""","55""","41""","7""","0""",,,,
coronet-peak,,,,,,,,"9""","13""","6""","9""","0.3"""
the-remarkables,,,,,,,,"9""","19""","15""","15""","4"""
thredbo-alpine-resort,,,,,,,,"11""","27""","34""","11""","0"""
valle-nevado,,,,,,,,"4""","13""","13""","6""","0.7"""
falls-creek-alpine-resort,,,,,,,,"10""","21""","19""","6""","0.5"""
mt-hotham,,,,,,,,"11""","20""","21""","8""","0.4"""
perisher,,,,,,,,"19""","26""","20""","14""","0.4"""
mt-buller,,,,,,,,"9""","15""","19""","7""","0.5"""
