short-name,Summit,Vertical Drop,Base
alta-ski-area,11068',2538',8530'
aspen-snowmass,12510',4406',8104'
big-sky-resort,11166',4350',7500'
coronet-peak,5410',1516',3894'
jackson-hole,10450',4139',6311'
lake-louise,8652',3251',5400'
mammoth-mountain-ski-area,11053',3100',7953'
squaw-valley-usa,9050',2850',6200'
revelstoke-mountain,7300',5620',1680'
snowbasin,9350',2900',6450'
snowbird,11000',3240',7760'
sugarbush,4083',2600',1483'
sun-valley,9150',3400',5750'
sunshine-village,8957',3510',5446'
taos-ski-valley,12481',3281',9200'
the-remarkables,6375',1171',5203'
thredbo-alpine-resort,6683',2205',4478'
valle-nevado,12041',2657',9843'
afton-alps,1530',350',1180'
folgaria,1820m,620m,1200m
andalo-fai-della-paganella,2125m,1085m,1040m
beaver-creek,11440',3340',8100'
breckenridge,12998',3398',9600'
brides-les-bains,2950m,2350m,600m
courchevel,2738m,1388m,1100m
crested-butte-mountain-resort,12162',3062',9375'
falls-creek-alpine-resort,5840',1247',4593'
fernie-alpine,7001',3550',3451'
folgarida-marilleva,2040m,770m,1270m
heavenly-mountain-resort,10067',3500',7170'
keystone,12408',3128',9280'
kicking-horse,8038',4134',3904'
kimberley,6503',2464',4035'
kirkwood,9800',2000',7800'
la-tania,2732m,1382m,1350m
les-menuires,2850m,1400m,1450m
madonna-di-campiglio,2580m,1030m,1550m
meribel,2952m,1852m,1100m
mont-sainte-anne,2625',2051',574'
monte-bondone,2090m,910m,1180m
mount-sunapee,2743',1510',1233'
mount-brighton,1330',230',1100'
mt-hotham,6106',1296',4757'
nakiska-ski-area,7415',2411',5003'
nendaz,3330m,1930m,1400m
northstar-california,8610',2280',6330'
okemo-mountain-resort,3344',2200',1144'
orelle,3200m,2300m,900m
park-city-mountain-resort,10026',3226',6800'
pejo,3000m,1600m,1160m
perisher,6739',1165',5643'
pinzolo,2100m,1300m,800m
pontedilegno-tonale-adamello-ski,3000m,1880m,1120m
saint-martin-de-belleville,2850m,1400m,1450m
stevens-pass-resort,5845',1800',4061'
stoneham,1946',1132',814'
stowe-mountain-resort,4395',2360',2035'
telluride,13150',4425',8725'
thyon-2000,2700m,1400m,1300m
vail,11570',3450',8120'
val-thorens,3230m,930m,1825m
verbier,3330m,1830m,1500m
veysonnaz,2700m,1230m,1470m
whistler-blackcomb,7493',5279',2215'
wilmot-mountain,1030',230',800'
arapahoe-basin-ski-area,13050',2530',10780'
bear-mountain,8805',1665',7140'
blue-mountain,1476',722',755'
boyne-mountain-resort,1120',500',620'
brighton-resort,10500',1745',8755'
copper-mountain-resort,12313',2738',9712'
crystal-mountain-wa,7012',3100',4400'
cypress-mountain,4751',2008',3012'
deer-valley-resort,9570',3000',6570'
eldora-mountain-resort,10600',1400',9200'
june-mountain,10090',2590',7545'
killington-resort,4241',3050',1165'
loon-mountain,3050',2100',950'
mt-bachelor,9065',3365',5700'
mt-buller,5922',1411',4511'
ski-banff-norquay,8038',1650',5397'
panorama-mountain,8038',4265',3773'
snow-summit,8200',1200',7000'
snowshoe-mountain-resort,4848',1500',3348'
solitude-mountain-resort,10488',2494',7994'
steamboat,10568',3668',6900'
stratton-mountain,3875',2003',1872'
sugarloaf,4237',2820',1417'
sunday-river,3140',2340',800'
boyne-highlands,1290',552',745'
the-summit-at-snoqualmie,3865',1025',2840'
tremblant,2871',2116',755'
windham-mountain,3100',1600',1500'
winter-park-resort,12060',3060',9000'
